rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
10,301,-8.74378303820336,0,0,1.11411540172053,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
1,302,-8.41303768618906,0,0,1.9797628294202,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
2,302,-8.59920304672183,0,0,1.64712132206672,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
3,302,-8.6857562977459,0,0,1.44162363501298,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
4,302,-8.17708389374663,0,0,2.64298046329214,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
5,302,-8.66917216925745,0,0,1.44875770784938,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
6,302,-8.15316737876066,0,0,2.11820578013379,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
7,302,-8.38584442810132,0,0,2.32988220467378,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
8,302,-9.00184195111402,0,0,1.63109245422701,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
9,302,-8.35707097571805,0,0,1.42560350774805,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
10,302,-7.6575681943333,0,0,2.58225266079032,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
