rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
7,302,-7.62173906177466,0,0,2.44754366593614,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
8,302,-7.81695566040773,0,0,2.86725804364682,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
9,302,-7.80546868107311,0,0,2.33803858705842,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
10,302,-7.31885672837271,0,0,3.41158657068091,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
1,303,-7.63469663615877,0,0,1.79113174119641,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
2,303,-7.7833462704484,0,0,2.19679639115276,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
3,303,-7.29294208602713,0,0,2.38447273142507,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
4,303,-7.96325272362699,0,0,1.3358398816979,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
5,303,-7.49739808880304,0,0,1.67760934936738,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
6,303,-7.48145693862285,0,0,3.19964967580596,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
7,303,-7.7720010704302,0,0,1.8486571322855,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
8,303,-7.99281803286703,0,0,1.81889023114748,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
9,303,-7.76527858281997,0,0,1.95699929325097,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
