rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
8,203,-6.48892005239524,0,0,3.54659181562146,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
9,203,-6.80359542559267,0,0,2.26908598904391,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
10,203,-7.27718181714207,0,0,1.95876346854067,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
1,204,-7.22045024279752,0,0,1.86922378883121,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
2,204,-7.55188655446862,0,0,1.60644130485814,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
3,204,-6.95287942437215,0,0,2.2740662145818,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
4,204,-6.85372095817258,0,0,1.78764328862156,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
5,204,-7.30727449538999,0,0,1.8346266882875,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
6,204,-7.1859751340964,0,0,2.28024218021705,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
7,204,-6.88362485610858,0,0,1.79469832449402,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
8,204,-6.93612637887963,0,0,2.02448655447617,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
